FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-50b9;1626;11 DE SETEMBRO;33801;5107065;19/04/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.2047777778 -11.3278444444);Querência;Mato Grosso;30202002060;-1.132.784.444;-5.320.477.778
aldeias_pontos.fid--75d69c06_184becf87ba_-50b8;61;12 de Outubro;17301;5101902;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-57.933888888889 -12.801388888889);Brasnorte;Mato Grosso;30202002032;-1.280.138.889;-5.793.388.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b7;60;13 de Maio;17301;5101902;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-57.901388888889 -12.800277777778);Brasnorte;Mato Grosso;30202002032;-1.280.027.778;-5.790.138.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b6;2346;14 de Abril (Central);40701;1100098;13/07/2018;A;COORDENACAO REGIONAL DE CACOAL;POINT (-60.6708888889 -11.3573888889);Espigão D´Oeste;Rondônia;30202001934;-1.135.738.889;-6.067.088.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b5;3084;18 Praias;15701;1200609;05/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-70.7596055556 -8.23643611111);Tarauacá;Acre;30202001852;-823.643.611;-7.075.960.556
aldeias_pontos.fid--75d69c06_184becf87ba_-50b4;3237;21 (Vinte e Um);20501;1200302;13/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-71.5234611111 -9.66817222222);Feijó;Acre;30202001852;-966.817.222;-7.152.346.111
aldeias_pontos.fid--75d69c06_184becf87ba_-50b3;4844;3 Cachoeiras;7301;1200054;04/04/2022;A;COORDENACAO REGIONAL ALTO PURUS;POINT (-69.8894083333 -10.9207333333);Assis Brasil;Acre;30202001845;-1.092.073.333;-6.988.940.833
aldeias_pontos.fid--75d69c06_184becf87ba_-50b2;3980;72 COATI ( EDIMILSON );40701;1100098;14/10/2019;A;COORDENACAO REGIONAL DE CACOAL;POINT (-60.5794166667 -11.5053333333);Espigão D´Oeste;Rondônia;30202001934;-1.150.533.333;-6.057.941.667
aldeias_pontos.fid--75d69c06_184becf87ba_-50b1;3337;7 de Setembro;56601;1200336;17/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-73.5028888889 -7.46280555556);Mâncio Lima;Acre;30202001852;-746.280.556;-7.350.288.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b0;3886;8ª Linha;16101;1100106;15/04/2019;A;COORDENACAO REGIONAL DE GUAJARA MIRIM;POINT (-65.208 -10.6284166667);Guajará-Mirim;Rondônia;30202001941;-1.062.841.667;-65.208
aldeias_pontos.fid--75d69c06_184becf87ba_-50af;2167;9 DE JULHO;37901;1400407;07/06/2018;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-60.1014277778 3.50921388889);Normandia;Roraima;30202001955;350.921.389;-6.010.142.778
aldeias_pontos.fid--75d69c06_184becf87ba_-50ae;4773;Abacateiro;3801;1500602;28/03/2022;A;COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ;POINT (-52.6608333333 -4.27525);Altamira;Pará;30202001913;-427.525;-5.266.083.333
aldeias_pontos.fid--75d69c06_184becf87ba_-50ad;761;ABACAXI;2401;1721208;20/10/2016;A;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;POINT (-47.5444444444 -6.33916666667);Tocantinópolis;Tocantins;30202001962;-633.916.667;-4.754.444.444
aldeias_pontos.fid--75d69c06_184becf87ba_-50ac;4357;Abaeté/Santana;55501;2913606;17/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.1689138889 -14.9765944444);Ilhéus;Bahia;30202001990;-1.497.659.444;-3.916.891.389
aldeias_pontos.fid--75d69c06_184becf87ba_-50ab;498;Abandonada;16201;1100122;;A;COORDENACAO REGIONAL DE JI PARANA;POINT (-61.5761388889 -10.7551666667);Ji-Paraná;Rondônia;30202001948;-1.075.516.667;-6.157.613.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50aa;3689;ABELHINHA;41101;5103908;30/10/2018;A;COORDENACAO REGIONAL XAVANTE;POINT (-53.8217666667 -15.5201416667);General Carneiro;Mato Grosso;30202002053;-1.552.014.167;-5.382.176.667
aldeias_pontos.fid--75d69c06_184becf87ba_-50a9;511;Abesewap (Paulo Sérgio);51101;5107578;;A;COORDENACAO REGIONAL DE JI PARANA;POINT (-60.7376666667 -10.73515);Rondolândia;Mato Grosso;30202001948;-1.073.515;-6.073.766.667
aldeias_pontos.fid--75d69c06_184becf87ba_-50a8;4579;Abianai;40401;1303601;06/09/2021;A;COORDENACAO REGIONAL DO RIO NEGRO;POINT (-65.2519916667 -0.407702777778);Santa Isabel do Rio Negro;Amazonas;30202001885;-0.40770278;-6.525.199.167
aldeias_pontos.fid--75d69c06_184becf87ba_-50a7;4993;ABONARI PV;49501;1303536;21/07/2022;A;COORDENACAO REGIONAL DE MANAUS;POINT (-60.4067 -1.26123333333);Presidente Figueiredo;Amazonas;30202001871;-126.123.333;-604.067
aldeias_pontos.fid--75d69c06_184becf87ba_-50a6;1516;ABRÃO;3601;2100600;17/04/2018;A;COORDENACAO REGIONAL MARANHÃO;POINT (-46.3042333333 -5.21534166667);Amarante do Maranhão;Maranhão;30202001997;-521.534.167;-4.630.423.333
